X_inv_KCI_p,X_inv_KCI_rej,X_inv_KCI_time,Y_inv_KCI_p,Y_inv_KCI_rej,Y_inv_KCI_time,Z_inv_KCI_p,Z_inv_KCI_rej,Z_inv_KCI_time,NP_KCI_p,NP_KCI_rej,NP_KCI_time
0.055,false,0.068886707,0.145,false,0.072181641,0.06,false,0.07260832,0.06,false,0.073292045
0.0,true,0.06998908,0.13,false,0.070839959,0.145,false,0.071153793,0.095,false,0.077707859
0.145,false,0.069168195,0.105,false,0.070280301,0.065,false,0.074041999,0.05,true,0.073867378
0.125,false,0.073729883,0.0,true,0.071885944,0.085,false,0.080331658,0.0,true,0.078427342
0.065,false,0.065661334,0.065,false,0.069085677,0.16,false,0.073916871,0.105,false,0.07268759
0.0,true,0.073643809,0.1,false,0.073884753,0.125,false,0.079138192,0.135,false,0.078707743
0.0,true,0.072176226,0.07,false,0.07054808,0.11,false,0.075606201,0.04,true,0.07197025
0.0,true,0.068821844,0.165,false,0.073368875,0.04,true,0.072542782,0.19,false,0.075190874
0.05,true,0.07189949,0.12,false,0.075421493,0.16,false,0.074248929,0.1,false,0.074730264
0.0,true,0.074223708,0.15,false,0.078439272,0.0,true,0.078102,0.0,true,0.079310563
0.0,true,0.070893732,0.065,false,0.073616939,0.09,false,0.076756777,0.08,false,0.073790244
0.15,false,0.069177231,0.035,true,0.07137113,0.175,false,0.077045976,0.155,false,0.075445744
0.0,true,0.071636912,0.005,true,0.073273585,0.13,false,0.078149453,0.1,false,0.084086446
0.05,true,0.07120503,0.035,true,0.071984523,0.12,false,0.074707834,0.095,false,0.080462539
0.135,false,0.072573907,0.01,true,0.069934551,0.155,false,0.07553606,0.155,false,0.077064853
0.03,true,0.072485471,0.14,false,0.066617442,0.03,true,0.072201716,0.14,false,0.07545204
0.0,true,0.069593035,0.11,false,0.0684163,0.145,false,0.074546797,0.0,true,0.08136356
0.06,false,0.070163592,0.295,false,0.070304001,0.115,false,0.079512231,0.05,true,0.074008495
0.14,false,0.07252474,0.13,false,0.071435069,0.115,false,0.079051844,0.085,false,0.072466107
0.0,true,0.070073057,0.09,false,0.076021559,0.115,false,0.073358691,0.0,true,0.076243818
0.125,false,0.067738663,0.07,false,0.072525758,0.045,true,0.074423372,0.1,false,0.071940837
0.0,true,0.068925655,0.0,true,0.069547794,0.105,false,0.072180545,0.08,false,0.072384355
0.0,true,0.073400476,0.07,false,0.07016422,0.045,true,0.073543164,0.14,false,0.07444507
0.0,true,0.070658239,0.1,false,0.072193939,0.11,false,0.076894905,0.105,false,0.069329943
0.145,false,0.071483601,0.07,false,0.0680603,0.16,false,0.078717122,0.13,false,0.077149951
0.155,false,0.079488191,0.085,false,0.07239328,0.195,false,0.075329972,0.135,false,0.077222165
0.1,false,0.075649051,0.13,false,0.070782287,0.095,false,0.075275543,0.11,false,0.081965478
0.065,false,0.082484705,0.165,false,0.066797539,0.07,false,0.075692683,0.0,true,0.076307404
0.015,true,0.071482891,0.0,true,0.069974352,0.05,true,0.075091031,0.105,false,0.076045908
0.0,true,0.070641967,0.01,true,0.069113135,0.06,false,0.070755232,0.055,false,0.071843371
0.12,false,0.070771951,0.08,false,0.068154149,0.115,false,0.079818386,0.01,true,0.070841297
0.06,false,0.074429811,0.105,false,0.068758882,0.1,false,0.072124976,0.0,true,0.073650208
0.075,false,0.076019197,0.07,false,0.07076852,0.135,false,0.069217122,0.185,false,0.073595078
0.0,true,0.080177901,0.075,false,0.068658986,0.16,false,0.068485109,0.085,false,0.071111119
0.13,false,0.069069853,0.045,true,0.063795319,0.06,false,0.069231999,0.105,false,0.068791281
0.035,true,0.070504769,0.105,false,0.071523027,0.155,false,0.072530163,0.105,false,0.074718718
0.065,false,0.068183047,0.105,false,0.069323196,0.08,false,0.074811917,0.085,false,0.072446289
0.08,false,0.073016706,0.14,false,0.071331117,0.115,false,0.069906884,0.145,false,0.076329307
0.04,true,0.070143915,0.1,false,0.070236274,0.085,false,0.070204921,0.105,false,0.077652855
0.11,false,0.077113282,0.115,false,0.067830825,0.13,false,0.067096264,0.1,false,0.0709524
0.0,true,0.076936494,0.28,false,0.06748793,0.185,false,0.069576189,0.03,true,0.07166045
0.035,true,0.07203949,0.09,false,0.072273942,0.1,false,0.072516349,0.0,true,0.073755032
0.12,false,0.071869337,0.08,false,0.066722045,0.085,false,0.071942694,0.13,false,0.074099331
0.115,false,0.072809176,0.115,false,0.067482593,0.135,false,0.068987951,0.13,false,0.071366858
0.18,false,0.074244571,0.07,false,0.066354535,0.195,false,0.069585921,0.16,false,0.075676872
0.07,false,0.079476729,0.105,false,0.065486806,0.05,true,0.069879283,0.065,false,0.07494043
0.085,false,0.073730744,0.025,true,0.065790974,0.125,false,0.068178796,0.115,false,0.070566918
0.0,true,0.07394703,0.09,false,0.066668059,0.17,false,0.068324224,0.17,false,0.074037455
0.11,false,0.070650365,0.155,false,0.066233204,0.145,false,0.076563571,0.0,true,0.072546051
0.125,false,0.074904197,0.175,false,0.069644147,0.0,true,0.071290424,0.18,false,0.074133653
0.155,false,0.077662414,0.045,true,0.0690438,0.135,false,0.068838424,0.0,true,0.071464879
0.0,true,0.072624971,0.135,false,0.065295328,0.135,false,0.067785703,0.14,false,0.074269018
0.0,true,0.081789807,0.055,false,0.071374968,0.115,false,0.071728145,0.135,false,0.069916303
