H0_KCI_p,H0_KCI_rej,H0_KCI_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time
0.285,false,0.022026997,0.085,false,0.022922797
0.345,false,0.021831871,0.025,true,0.022599757
0.125,false,0.021777086,0.0,true,0.02269136
0.2,false,0.021246307,0.06,false,0.02121834
0.36,false,0.0215762,0.065,false,0.021771011
0.275,false,0.021466933,0.1,false,0.02250566
0.4,false,0.024034555,0.105,false,0.022551109
0.045,true,0.02336507,0.055,false,0.022339323
0.295,false,0.024035322,0.085,false,0.027815418
0.32,false,0.022649049,0.025,true,0.021774395
0.19,false,0.020062862,0.02,true,0.021992258
0.09,false,0.020176167,0.025,true,0.021961657
0.615,false,0.020621368,0.02,true,0.022057761
0.07,false,0.020978938,0.085,false,0.021621505
0.38,false,0.020519854,0.12,false,0.022257307
0.135,false,0.020715041,0.025,true,0.022917052
0.08,false,0.02060822,0.005,true,0.023311336
0.26,false,0.021212217,0.035,true,0.022090516
0.295,false,0.021808083,0.0,true,0.021930045
0.26,false,0.02152383,0.04,true,0.023331564
0.565,false,0.020452141,0.045,true,0.022410554
0.365,false,0.021161438,0.015,true,0.023347491
0.26,false,0.021105371,0.0,true,0.022456108
0.135,false,0.020791286,0.02,true,0.02069988
0.47,false,0.020782154,0.09,false,0.022245918
0.205,false,0.021162182,0.04,true,0.02191085
0.515,false,0.020674445,0.095,false,0.022673233
0.49,false,0.020282957,0.01,true,0.021373686
0.57,false,0.021572685,0.11,false,0.021370135
0.54,false,0.020839867,0.04,true,0.021941795
0.505,false,0.020409247,0.0,true,0.022522448
0.44,false,0.020806813,0.035,true,0.022507756
0.355,false,0.021144448,0.015,true,0.022495707
0.185,false,0.021129075,0.085,false,0.028156436
0.265,false,0.021696452,0.03,true,0.022790918
0.615,false,0.021571716,0.075,false,0.022836479
0.31,false,0.020532407,0.075,false,0.021236537
0.425,false,0.021034621,0.025,true,0.020995649
0.17,false,0.02109868,0.02,true,0.022262043
0.28,false,0.020137505,0.02,true,0.021703951
0.245,false,0.020801907,0.165,false,0.022596283
0.105,false,0.021245362,0.015,true,0.022817425
0.165,false,0.021258168,0.015,true,0.022104099
0.19,false,0.020591015,0.0,true,0.023038775
0.41,false,0.020524695,0.005,true,0.022380403
0.04,true,0.021070079,0.005,true,0.023072656
0.27,false,0.021078642,0.005,true,0.0230403
0.37,false,0.021020151,0.0,true,0.022664331
0.36,false,0.021893333,0.0,true,0.022575398
0.22,false,0.021331533,0.03,true,0.023097468
0.36,false,0.020172946,0.01,true,0.022090882
0.19,false,0.020082744,0.09,false,0.022388797
0.175,false,0.021761185,0.0,true,0.021894443
0.465,false,0.021713092,0.065,false,0.022480936
0.26,false,0.021263822,0.0,true,0.022059342
0.44,false,0.02097495,0.015,true,0.02297112
0.23,false,0.020858801,0.02,true,0.022575604
0.415,false,0.021152462,0.03,true,0.022054135
0.245,false,0.022524848,0.01,true,0.035154463
0.405,false,0.02297737,0.025,true,0.021656293
0.44,false,0.026866374,0.005,true,0.022574109
0.295,false,0.020284736,0.04,true,0.022266789
0.21,false,0.020169766,0.08,false,0.021978885
0.435,false,0.02051537,0.0,true,0.021785225
0.515,false,0.020740556,0.02,true,0.021530422
0.05,true,0.019953762,0.0,true,0.021171724
0.5,false,0.020935716,0.015,true,0.022111481
0.29,false,0.01986,0.025,true,0.024281561
0.275,false,0.0208288,0.025,true,0.024666776
0.35,false,0.02062929,0.0,true,0.025342031
0.3,false,0.019790684,0.0,true,0.024696709
0.39,false,0.020762787,0.0,true,0.02503629
0.255,false,0.020822792,0.045,true,0.024413455
0.275,false,0.022851255,0.01,true,0.024576702
0.175,false,0.02215997,0.0,true,0.024508313
0.225,false,0.021557677,0.0,true,0.025186984
0.17,false,0.021079576,0.015,true,0.024447431
0.155,false,0.02052872,0.02,true,0.024005919
0.03,true,0.022461873,0.0,true,0.024572637
0.495,false,0.022468984,0.01,true,0.024877036
0.29,false,0.022448605,0.025,true,0.024770655
0.595,false,0.022747997,0.13,false,0.025294007
0.415,false,0.023046271,0.015,true,0.024163475
0.025,true,0.021452544,0.025,true,0.02470424
0.385,false,0.021188139,0.0,true,0.028466756
0.235,false,0.029056001,0.145,false,0.021624026
0.44,false,0.022268256,0.0,true,0.021905932
0.41,false,0.022733485,0.055,false,0.022133913
0.35,false,0.022316701,0.015,true,0.021749104
0.145,false,0.021319878,0.035,true,0.022180835
0.04,true,0.021870281,0.04,true,0.023322337
0.08,false,0.022946679,0.0,true,0.022036853
0.125,false,0.021783263,0.01,true,0.022382824
0.035,true,0.020870182,0.005,true,0.021148247
0.175,false,0.020295153,0.055,false,0.022610109
0.295,false,0.020821747,0.01,true,0.02209122
0.31,false,0.020977107,0.01,true,0.023484756
0.6,false,0.020562527,0.055,false,0.021461454
0.33,false,0.020509188,0.015,true,0.022809291
0.625,false,0.022122826,0.015,true,0.022829047
0.35,false,0.020262634,0.03,true,0.022375061
0.555,false,0.020954478,0.015,true,0.023046359
0.44,false,0.020432157,0.015,true,0.023218439
0.18,false,0.021389985,0.075,false,0.024021203
0.26,false,0.02058003,0.005,true,0.023021099
0.385,false,0.020971115,0.105,false,0.022790304
0.05,true,0.021083015,0.015,true,0.022200639
0.285,false,0.020281831,0.01,true,0.022484119
0.525,false,0.021219583,0.01,true,0.022971679
0.4,false,0.019884141,0.005,true,0.02866209
0.25,false,0.026749442,0.03,true,0.021884029
0.235,false,0.020561375,0.02,true,0.022711503
0.24,false,0.019839294,0.01,true,0.022329368
0.515,false,0.020596881,0.105,false,0.021957537
0.285,false,0.019437653,0.05,true,0.021556861
0.425,false,0.020003054,0.06,false,0.021948926
0.355,false,0.019861851,0.045,true,0.021482914
0.175,false,0.020023903,0.16,false,0.021452185
0.185,false,0.019610991,0.0,true,0.021650985
0.175,false,0.020111714,0.015,true,0.021033065
0.395,false,0.019047295,0.0,true,0.021843804
0.395,false,0.019957175,0.095,false,0.021955779
