H0_KCI_p,H0_KCI_rej,H0_KCI_time,H0_CP_p,H0_CP_rej,H0_CP_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time,H1_CP_p,H1_CP_rej,H1_CP_time
0.335,false,0.031262322,0.527363184079602,false,1.529642699,0.0,true,0.031928412,0.004975124378109453,true,1.507859622
0.31,false,0.021990926,0.5771144278606966,false,1.526752018,0.0,true,0.026123505,0.004975124378109453,true,1.495667184
0.465,false,0.022260004,0.31343283582089554,false,1.533438654,0.01,true,0.030959034,0.004975124378109453,true,1.531471902
0.34,false,0.02235197,0.4577114427860697,false,1.532462149,0.0,true,0.031147206,0.004975124378109453,true,1.495387901
0.235,false,0.023274501,0.9850746268656716,false,1.531743311,0.0,true,0.028868383,0.004975124378109453,true,1.494522775
0.255,false,0.022984014,0.7761194029850746,false,1.529277794,0.0,true,0.02166992,0.014925373134328358,true,1.507831031
0.32,false,0.022240398,0.014925373134328358,true,1.533397802,0.0,true,0.021756637,0.004975124378109453,true,1.514707744
0.105,false,0.021827305,0.5970149253731343,false,1.556411464,0.0,true,0.0216811,0.004975124378109453,true,1.536016297
0.1,false,0.025926249,0.43781094527363185,false,1.521773026,0.0,true,0.022115705,0.14925373134328357,false,1.509839593
0.02,true,0.022232771,0.12437810945273632,false,1.538395699,0.0,true,0.021643035,0.029850746268656716,true,1.513347835
0.22,false,0.022979915,0.029850746268656716,true,1.531898455,0.0,true,0.021502313,0.004975124378109453,true,1.508798678
0.375,false,0.022562398,0.24378109452736318,false,1.527367,0.0,true,0.033753401,0.004975124378109453,true,1.527532682
0.075,false,0.022105018,0.4975124378109453,false,1.522489418,0.0,true,0.021509607,0.004975124378109453,true,1.513872792
0.39,false,0.022356588,0.29850746268656714,false,1.535452276,0.0,true,0.022201391,0.004975124378109453,true,1.522095337
0.365,false,0.02179871,0.681592039800995,false,1.522736289,0.0,true,0.021204132,0.004975124378109453,true,1.511200406
0.335,false,0.022035866,0.20398009950248755,false,1.539330466,0.0,true,0.021641352,0.004975124378109453,true,1.563287744
0.355,false,0.0220714,0.04975124378109453,true,1.522467071,0.0,true,0.039887199,0.12437810945273632,false,1.591453744
0.545,false,0.022494394,0.6965174129353234,false,1.533616131,0.0,true,0.024262629,0.3482587064676617,false,1.577600334
0.2,false,0.022863092,0.7412935323383084,false,1.531582552,0.0,true,0.027104995,0.43283582089552236,false,1.54454369
0.21,false,0.030491432,0.5074626865671642,false,1.527136433,0.0,true,0.034176756,0.22388059701492538,false,1.556966616
0.105,false,0.042182831,0.7711442786069652,false,1.514373612,0.0,true,0.023940942,0.01990049751243781,true,1.511139061
0.235,false,0.020979094,0.20398009950248755,false,1.527209938,0.0,true,0.021428844,0.004975124378109453,true,1.543068658
0.38,false,0.022768864,0.8507462686567164,false,1.543009219,0.0,true,0.053231181,0.004975124378109453,true,1.522743695
0.23,false,0.022855695,0.8308457711442786,false,1.521854587,0.0,true,0.023012517,0.7313432835820896,false,1.513159587
0.285,false,0.022242931,0.01990049751243781,true,1.536941124,0.0,true,0.030636709,0.004975124378109453,true,1.507215038
0.1,false,0.02251604,0.48756218905472637,false,1.522499111,0.0,true,0.021332544,0.004975124378109453,true,1.548608535
0.225,false,0.030776425,0.5174129353233831,false,1.512172259,0.0,true,0.022332245,0.43781094527363185,false,1.546109913
0.08,false,0.022707344,0.900497512437811,false,1.532028942,0.0,true,0.024504002,0.03980099502487562,true,1.528570919
0.175,false,0.022142145,0.4577114427860697,false,1.517497723,0.0,true,0.021986776,0.15422885572139303,false,1.517641615
0.165,false,0.021979798,0.0845771144278607,false,1.526666023,0.0,true,0.020843801,0.01990049751243781,true,1.520645357
0.295,false,0.030564648,0.03980099502487562,true,1.530034617,0.0,true,0.021220877,0.009950248756218905,true,1.503076871
0.185,false,0.022618146,0.8557213930348259,false,1.527705796,0.0,true,0.021958106,0.03482587064676617,true,1.539718758
0.17,false,0.022609464,0.7412935323383084,false,1.538370229,0.0,true,0.022036404,0.01990049751243781,true,1.515162541
0.275,false,0.022570294,0.009950248756218905,true,1.530487771,0.0,true,0.021927506,0.004975124378109453,true,1.543844961
0.04,true,0.021714515,0.7412935323383084,false,1.530945839,0.0,true,0.022969396,0.004975124378109453,true,1.506856438
0.375,false,0.022185647,0.6119402985074627,false,1.522077848,0.0,true,0.021812514,0.004975124378109453,true,1.521449908
0.32,false,0.022656803,0.373134328358209,false,1.536244462,0.0,true,0.02245679,0.004975124378109453,true,1.510091897
0.08,false,0.024040947,0.8208955223880597,false,1.532579423,0.0,true,0.030076929,0.009950248756218905,true,1.518284721
0.11,false,0.02529628,0.07462686567164178,false,1.524741061,0.0,true,0.021531761,0.004975124378109453,true,1.517905438
0.36,false,0.022682399,0.5174129353233831,false,1.525285855,0.0,true,0.021569518,0.19900497512437812,false,1.518424232
0.29,false,0.021369857,0.48258706467661694,false,1.528361807,0.0,true,0.021158311,0.004975124378109453,true,1.511204427
0.495,false,0.022003706,0.6119402985074627,false,1.5105539,0.0,true,0.02721375,0.48258706467661694,false,1.515566009
0.14,false,0.030334782,0.44776119402985076,false,1.520936921,0.0,true,0.021442391,0.004975124378109453,true,1.547531574
0.085,false,0.021789628,0.0945273631840796,false,1.525896406,0.0,true,0.032203059,0.004975124378109453,true,1.514355769
0.25,false,0.022073688,0.0845771144278607,false,1.521796882,0.0,true,0.02223685,0.004975124378109453,true,1.517547941
